wave flux error
  1.3602e+03  1.0284e+00  2.6567e-02
  1.3612e+03  1.0710e+00  2.0944e-02
  1.3623e+03  1.0228e+00  2.6590e-02
  1.3633e+03  1.0038e+00  4.4803e-02
  1.3644e+03  1.0368e+00  2.4180e-02
  1.3654e+03  1.0864e+00  2.1777e-02
  1.3665e+03  1.0084e+00  3.7563e-02
  1.3675e+03  9.9548e-01  3.7530e-02
  1.3686e+03  1.0018e+00  4.3260e-02
  1.3696e+03  9.3754e-01  4.9173e-02
  1.3707e+03  9.8776e-01  3.8096e-02
  1.3717e+03  1.0994e+00  2.1411e-02
  1.3728e+03  1.0161e+00  2.7390e-02
  1.3738e+03  1.0749e+00  2.2955e-02
  1.3749e+03  1.0370e+00  2.5988e-02
  1.3759e+03  1.0197e+00  3.1651e-02
  1.3770e+03  1.0462e+00  2.6558e-02
  1.3780e+03  9.6662e-01  2.5370e-02
  1.3791e+03  1.0342e+00  3.6939e-02
  1.3801e+03  1.0857e+00  3.6436e-02
  1.3812e+03  1.0578e+00  2.1936e-02
  1.3822e+03  1.0272e+00  2.8487e-02
  1.3833e+03  9.9551e-01  2.6791e-02
  1.3843e+03  9.8911e-01  3.3654e-02
  1.3854e+03  9.5040e-01  2.4090e-02
  1.3864e+03  9.7630e-01  2.4550e-02
  1.3875e+03  9.1668e-01  3.0898e-02
  1.3885e+03  1.0453e+00  4.0183e-02
  1.3896e+03  9.5530e-01  4.0004e-02
  1.3906e+03  8.1842e-01  2.8768e-02
  1.3917e+03  7.9971e-01  3.5271e-02
  1.3927e+03  7.6265e-01  3.5765e-02
  1.3938e+03  7.5666e-01  3.1114e-02
  1.3948e+03  8.9651e-01  3.1517e-02
  1.3959e+03  9.1474e-01  4.4799e-02
  1.3969e+03  9.4235e-01  4.5714e-02
  1.3980e+03  9.4030e-01  4.3351e-02
  1.3990e+03  8.7868e-01  2.9056e-02
  1.4001e+03  8.8406e-01  3.0128e-02
  1.4011e+03  7.8503e-01  5.1777e-02
  1.4022e+03  7.8358e-01  3.1492e-02
  1.4032e+03  1.0237e+00  3.0200e-02
  1.4043e+03  8.8682e-01  3.3960e-02
  1.4053e+03  9.5332e-01  3.1933e-02
  1.4064e+03  1.0805e+00  2.8089e-02
  1.4074e+03  1.0647e+00  2.3739e-02
  1.4085e+03  1.0398e+00  2.9853e-02
  1.4095e+03  1.0318e+00  3.1599e-02
  1.4106e+03  9.8162e-01  2.7125e-02
  1.4116e+03  9.5224e-01  3.1892e-02
  1.4127e+03  9.3864e-01  4.5198e-02
  1.4137e+03  1.0951e+00  3.0841e-02
  1.4148e+03  1.1020e+00  2.0888e-02
  1.4158e+03  9.4140e-01  3.0292e-02
  1.4169e+03  1.0401e+00  3.9876e-02
  1.4179e+03  9.3459e-01  3.4163e-02
  1.4190e+03  9.9699e-01  2.6246e-02
  1.4200e+03  9.7111e-01  2.0459e-02
  1.4211e+03  1.0192e+00  3.6192e-02
  1.4221e+03  9.9836e-01  3.3973e-02
  1.4232e+03  9.6580e-01  3.3400e-02
  1.4242e+03  9.6725e-01  2.7693e-02
  1.4253e+03  1.0381e+00  1.9997e-02
  1.4263e+03  9.9711e-01  2.4229e-02
  1.4274e+03  9.6343e-01  3.5290e-02
  1.4284e+03  1.0052e+00  3.5220e-02
  1.4295e+03  9.4498e-01  3.6884e-02
  1.4305e+03  1.0586e+00  2.6075e-02
  1.4316e+03  9.2651e-01  2.8770e-02
  1.4326e+03  9.4009e-01  3.0729e-02
  1.4337e+03  9.7609e-01  3.7703e-02
  1.4347e+03  1.0613e+00  2.8115e-02
  1.4358e+03  9.7620e-01  2.9661e-02
  1.4368e+03  1.0113e+00  2.2734e-02
  1.4379e+03  9.8813e-01  2.0961e-02
  1.4389e+03  1.0209e+00  3.0285e-02
  1.4400e+03  1.0057e+00  2.3113e-02
  1.4411e+03  9.2902e-01  2.1772e-02
  1.4421e+03  1.0169e+00  2.7870e-02
  1.4432e+03  1.1097e+00  3.7060e-02
  1.4442e+03  1.0144e+00  2.6184e-02
  1.4453e+03  9.6750e-01  3.2392e-02
  1.4463e+03  9.3240e-01  2.9580e-02
  1.4474e+03  1.0036e+00  5.0059e-02
  1.4484e+03  9.7647e-01  3.2736e-02
  1.4495e+03  1.1079e+00  3.6196e-02
  1.4505e+03  1.0366e+00  3.0509e-02
  1.4516e+03  9.6911e-01  4.3118e-02
  1.4526e+03  1.0219e+00  3.2253e-02
  1.4537e+03  1.1123e+00  4.1632e-02
  1.4547e+03  9.4665e-01  4.1444e-02
  1.4558e+03  9.0335e-01  2.8020e-02
  1.4568e+03  1.0315e+00  3.6669e-02
  1.4579e+03  9.7817e-01  2.5180e-02
  1.4589e+03  9.2705e-01  3.0221e-02
  1.4600e+03  1.1025e+00  3.4093e-02
  1.4610e+03  1.0371e+00  2.9559e-02
  1.4621e+03  9.7540e-01  3.9507e-02
  1.4631e+03  1.0051e+00  4.1744e-02
  1.4642e+03  1.0268e+00  4.2254e-02
  1.4652e+03  9.4238e-01  3.4061e-02
